n,Run,Target,Input List,Brute Force Sum,Greedy Sum,Quality Gap,Quality Ratio,Percent Gap,Greedy Optimal,Greedy Valid,Brute Force Time,Greedy Time
17,8,522,"[52, 48, 50, 22, 27, 18, 99, 89, 82, 84, 89, 33, 16, 86, 88, 67, 94]",522,511,11,0.9789272030651341,2.10727969348659,False,True,0.004471440999623155,3.522000042721629e-06
17,9,441,"[98, 47, 67, 16, 97, 63, 9, 8, 30, 73, 59, 70, 24, 42, 82, 60, 37]",441,436,5,0.9886621315192744,1.1337868480725624,False,True,0.0018635169999470236,3.201999788871035e-06
17,10,488,"[69, 45, 49, 13, 46, 94, 46, 61, 16, 3, 30, 97, 77, 58, 93, 97, 82]",488,482,6,0.9877049180327869,1.2295081967213115,False,True,0.0026755100006994326,1.093199898605235e-05
17,11,412,"[59, 15, 53, 19, 38, 44, 79, 8, 88, 49, 27, 88, 77, 96, 49, 9, 26]",412,410,2,0.9951456310679612,0.48543689320388345,False,True,0.002752245000010589,3.9590013329871e-06
17,12,436,"[88, 55, 70, 75, 29, 77, 88, 63, 88, 80, 11, 7, 36, 8, 10, 35, 53]",436,432,4,0.9908256880733946,0.9174311926605505,False,True,0.00197014900004433,3.6530000215861946e-06
17,13,461,"[8, 29, 24, 95, 35, 76, 96, 48, 70, 77, 75, 21, 65, 54, 32, 28, 90]",461,458,3,0.9934924078091106,0.6507592190889371,False,True,0.003256492998843896,1.0462001228006557e-05
17,14,486,"[89, 32, 53, 52, 97, 5, 2, 34, 92, 8, 55, 94, 56, 88, 86, 83, 47]",486,475,11,0.977366255144033,2.263374485596708,False,True,0.0022500489994854433,9.96899871097412e-06
17,15,393,"[23, 35, 100, 38, 44, 84, 45, 100, 3, 13, 97, 59, 88, 8, 8, 19, 22]",393,393,0,1.0,0.0,True,True,0.0015280010011338163,5.829000656376593e-06
17,16,402,"[16, 22, 92, 62, 39, 12, 26, 64, 59, 98, 64, 61, 14, 55, 4, 91, 26]",402,400,2,0.9950248756218906,0.4975124378109453,False,True,0.001263739999558311,3.462000677245669e-06
17,17,377,"[6, 26, 21, 51, 13, 17, 26, 11, 83, 30, 72, 83, 82, 77, 54, 76, 27]",377,376,1,0.9973474801061007,0.2652519893899204,False,True,0.0024334720001206733,3.4949989640153944e-06
17,18,549,"[30, 73, 58, 76, 10, 54, 93, 73, 47, 69, 70, 73, 95, 68, 60, 68, 82]",549,546,3,0.994535519125683,0.546448087431694,False,True,0.007055250000121305,4.161000106250867e-06
17,19,435,"[14, 90, 95, 86, 30, 73, 17, 90, 11, 10, 64, 67, 72, 50, 68, 9, 24]",435,434,1,0.9977011494252873,0.22988505747126436,False,True,0.0028082240005460335,2.9039983928669244e-06
17,20,486,"[11, 85, 88, 19, 12, 100, 69, 28, 84, 70, 27, 45, 93, 91, 13, 69, 68]",486,485,1,0.9979423868312757,0.205761316872428,False,True,0.002985897999678855,2.7089990908280015e-06
